gene,class,probe_nt,hours,signed_fold,source_note
BXLF1,E,130906,72,2.7,Yuan 2006 Table 1 oligo 130906
BALF5,E,155885,0,1.0,Yuan 2006 Table 1 oligo 155885; DNA polymerase
BALF5,E,155885,4,-1.1,Yuan 2006 Table 1 oligo 155885
BALF5,E,155885,8,8.9,Yuan 2006 Table 1 oligo 155885
BALF5,E,155885,12,12.5,Yuan 2006 Table 1 oligo 155885
BALF5,E,155885,24,7.8,Yuan 2006 Table 1 oligo 155885
BALF5,E,155885,48,4.3,Yuan 2006 Table 1 oligo 155885
BALF5,E,155885,72,2.2,Yuan 2006 Table 1 oligo 155885
BALF2,E,161314,0,1.0,Yuan 2006 Table 1 oligo 161314; ssDNA BP
BALF2,E,161314,4,1.8,Yuan 2006 Table 1 oligo 161314
BALF2,E,161314,8,43.3,Yuan 2006 Table 1 oligo 161314
BALF2,E,161314,12,47.5,Yuan 2006 Table 1 oligo 161314
BALF2,E,161314,24,7.2,Yuan 2006 Table 1 oligo 161314
BALF2,E,161314,48,4.9,Yuan 2006 Table 1 oligo 161314
BALF2,E,161314,72,4.4,Yuan 2006 Table 1 oligo 161314
BGLF5,E,108677,0,1.0,Yuan 2006 Table 1 oligo 108677; alkaline exonuclease
BGLF5,E,108677,4,1.4,Yuan 2006 Table 1 oligo 108677
BGLF5,E,108677,8,15.1,Yuan 2006 Table 1 oligo 108677
BGLF5,E,108677,12,17.7,Yuan 2006 Table 1 oligo 108677
BGLF5,E,108677,24,8.9,Yuan 2006 Table 1 oligo 108677
BGLF5,E,108677,48,6.0,Yuan 2006 Table 1 oligo 108677
BGLF5,E,108677,72,5.0,Yuan 2006 Table 1 oligo 108677
LF3,E,140570,0,1.0,Yuan 2006 Table 1 oligo 140570; paper notes late-peaking early RNA
LF3,E,140570,4,1.3,Yuan 2006 Table 1 oligo 140570
LF3,E,140570,8,3.7,Yuan 2006 Table 1 oligo 140570
LF3,E,140570,12,5.4,Yuan 2006 Table 1 oligo 140570
LF3,E,140570,24,15.9,Yuan 2006 Table 1 oligo 140570
LF3,E,140570,48,7.6,Yuan 2006 Table 1 oligo 140570
LF3,E,140570,72,3.2,Yuan 2006 Table 1 oligo 140570
BNRF1,L,5372,0,1.0,Yuan 2006 Table 1 oligo 5372; major tegument
BNRF1,L,5372,4,1.0,Yuan 2006 Table 1 oligo 5372
BNRF1,L,5372,8,2.7,Yuan 2006 Table 1 oligo 5372
BNRF1,L,5372,12,10.9,Yuan 2006 Table 1 oligo 5372
BNRF1,L,5372,24,16.6,Yuan 2006 Table 1 oligo 5372
BNRF1,L,5372,48,5.8,Yuan 2006 Table 1 oligo 5372
BNRF1,L,5372,72,4.2,Yuan 2006 Table 1 oligo 5372
BFRF3,L,49547,0,1.0,Yuan 2006 Table 1 oligo 49547; small capsid / p18
BFRF3,L,49547,4,-1.4,Yuan 2006 Table 1 oligo 49547
BFRF3,L,49547,8,7.7,Yuan 2006 Table 1 oligo 49547
BFRF3,L,49547,12,14.7,Yuan 2006 Table 1 oligo 49547
BFRF3,L,49547,24,21.1,Yuan 2006 Table 1 oligo 49547
BFRF3,L,49547,48,5.1,Yuan 2006 Table 1 oligo 49547
BFRF3,L,49547,72,3.9,Yuan 2006 Table 1 oligo 49547
BPLF1,L,49847,0,1.0,Yuan 2006 Table 1 oligo 49847; large tegument
BPLF1,L,49847,4,1.0,Yuan 2006 Table 1 oligo 49847
BPLF1,L,49847,8,4.4,Yuan 2006 Table 1 oligo 49847
BPLF1,L,49847,12,9.4,Yuan 2006 Table 1 oligo 49847
BPLF1,L,49847,24,12.4,Yuan 2006 Table 1 oligo 49847
BPLF1,L,49847,48,5.0,Yuan 2006 Table 1 oligo 49847
BPLF1,L,49847,72,4.1,Yuan 2006 Table 1 oligo 49847
BMRF2,L,69207,0,1.0,Yuan 2006 Table 1 oligo 69207; paper: coterminal with early BaRF1/BMRF1
BMRF2,L,69207,4,1.3,Yuan 2006 Table 1 oligo 69207
BMRF2,L,69207,8,31.6,Yuan 2006 Table 1 oligo 69207
BMRF2,L,69207,12,33.6,Yuan 2006 Table 1 oligo 69207
BMRF2,L,69207,24,11.7,Yuan 2006 Table 1 oligo 69207
BMRF2,L,69207,48,5.2,Yuan 2006 Table 1 oligo 69207
BMRF2,L,69207,72,4.2,Yuan 2006 Table 1 oligo 69207
BLLF1,L,79090,0,1.0,Yuan 2006 Table 1 oligo 79090; gp350/220
BLLF1,L,79090,4,1.3,Yuan 2006 Table 1 oligo 79090
BLLF1,L,79090,8,2.7,Yuan 2006 Table 1 oligo 79090
BLLF1,L,79090,12,9.4,Yuan 2006 Table 1 oligo 79090
BLLF1,L,79090,24,14.0,Yuan 2006 Table 1 oligo 79090
BLLF1,L,79090,48,5.0,Yuan 2006 Table 1 oligo 79090
BLLF1,L,79090,72,4.4,Yuan 2006 Table 1 oligo 79090
BLRF2,L,77013,0,1.0,Yuan 2006 Table 1 oligo 77013; virion protein / VCA-p23
BLRF2,L,77013,4,-1.1,Yuan 2006 Table 1 oligo 77013
BLRF2,L,77013,8,2.1,Yuan 2006 Table 1 oligo 77013
BLRF2,L,77013,12,9.2,Yuan 2006 Table 1 oligo 77013
BLRF2,L,77013,24,13.8,Yuan 2006 Table 1 oligo 77013
BLRF2,L,77013,48,4.0,Yuan 2006 Table 1 oligo 77013
BLRF2,L,77013,72,3.5,Yuan 2006 Table 1 oligo 77013
BBRF3,L,107151,0,1.0,Yuan 2006 Table 1 oligo 107151; gM
BBRF3,L,107151,4,1.0,Yuan 2006 Table 1 oligo 107151
BBRF3,L,107151,8,4.1,Yuan 2006 Table 1 oligo 107151
BBRF3,L,107151,12,10.6,Yuan 2006 Table 1 oligo 107151
BBRF3,L,107151,24,20.5,Yuan 2006 Table 1 oligo 107151
BBRF3,L,107151,48,6.0,Yuan 2006 Table 1 oligo 107151
BBRF3,L,107151,72,5.1,Yuan 2006 Table 1 oligo 107151
BGLF2,L,114387,0,1.0,Yuan 2006 Table 1 oligo 114387
BGLF2,L,114387,4,1.0,Yuan 2006 Table 1 oligo 114387
BGLF2,L,114387,8,4.6,Yuan 2006 Table 1 oligo 114387
BGLF2,L,114387,12,10.0,Yuan 2006 Table 1 oligo 114387
BGLF2,L,114387,24,14.3,Yuan 2006 Table 1 oligo 114387
BGLF2,L,114387,48,4.2,Yuan 2006 Table 1 oligo 114387
BGLF2,L,114387,72,4.1,Yuan 2006 Table 1 oligo 114387
BDLF3,L,118572,0,1.0,Yuan 2006 Table 1 oligo 118572; gp150
BDLF3,L,118572,4,-1.3,Yuan 2006 Table 1 oligo 118572
BDLF3,L,118572,8,1.8,Yuan 2006 Table 1 oligo 118572
BDLF3,L,118572,12,6.3,Yuan 2006 Table 1 oligo 118572
BDLF3,L,118572,24,16.1,Yuan 2006 Table 1 oligo 118572
BDLF3,L,118572,48,5.8,Yuan 2006 Table 1 oligo 118572
BDLF3,L,118572,72,4.2,Yuan 2006 Table 1 oligo 118572
BDLF1,L,120112,0,1.0,Yuan 2006 Table 1 oligo 120112; minor capsid
BDLF1,L,120112,4,1.0,Yuan 2006 Table 1 oligo 120112
BDLF1,L,120112,8,2.2,Yuan 2006 Table 1 oligo 120112
BDLF1,L,120112,12,8.9,Yuan 2006 Table 1 oligo 120112
BDLF1,L,120112,24,21.5,Yuan 2006 Table 1 oligo 120112
BDLF1,L,120112,48,7.5,Yuan 2006 Table 1 oligo 120112
BDLF1,L,120112,72,5.8,Yuan 2006 Table 1 oligo 120112
BcLF1,L,121851,0,1.0,Yuan 2006 Table 1 oligo 121851; major capsid
BcLF1,L,121851,4,1.0,Yuan 2006 Table 1 oligo 121851
BcLF1,L,121851,8,2.3,Yuan 2006 Table 1 oligo 121851
BcLF1,L,121851,12,9.2,Yuan 2006 Table 1 oligo 121851
BcLF1,L,121851,24,7.9,Yuan 2006 Table 1 oligo 121851
BcLF1,L,121851,48,4.0,Yuan 2006 Table 1 oligo 121851
BcLF1,L,121851,72,3.7,Yuan 2006 Table 1 oligo 121851
BILF2,L,137878,0,1.0,Yuan 2006 Table 1 oligo 137878; gp78
BILF2,L,137878,4,-1.7,Yuan 2006 Table 1 oligo 137878
BILF2,L,137878,8,1.4,Yuan 2006 Table 1 oligo 137878
BILF2,L,137878,12,4.9,Yuan 2006 Table 1 oligo 137878
BILF2,L,137878,24,21.5,Yuan 2006 Table 1 oligo 137878
BILF2,L,137878,48,6.4,Yuan 2006 Table 1 oligo 137878
BILF2,L,137878,72,5.4,Yuan 2006 Table 1 oligo 137878
BALF4,L,156529,0,1.0,Yuan 2006 Table 1 oligo 156529; gB
BALF4,L,156529,4,1.1,Yuan 2006 Table 1 oligo 156529
BALF4,L,156529,8,4.7,Yuan 2006 Table 1 oligo 156529
BALF4,L,156529,12,12.5,Yuan 2006 Table 1 oligo 156529
BALF4,L,156529,24,15.2,Yuan 2006 Table 1 oligo 156529
BALF4,L,156529,48,6.8,Yuan 2006 Table 1 oligo 156529
BALF4,L,156529,72,4.7,Yuan 2006 Table 1 oligo 156529
